lead_I,lead_II,lead_III,AVR,AVL,AVF,V1,V2,V3,V4,V5,V6
-0.055,-0.14,-0.085,0.098,0.015,-0.112,0.045,0.001,-0.097,-0.115,-0.138,-0.115
-0.055,-0.14,-0.085,0.098,0.015,-0.112,0.045,-0.002,-0.094,-0.115,-0.141,-0.115
-0.055,-0.14,-0.085,0.098,0.015,-0.112,0.045,-0.005,-0.095,-0.115,-0.139,-0.116
-0.055,-0.14,-0.085,0.098,0.015,-0.112,0.045,-0.005,-0.095,-0.115,-0.135,-0.12
-0.055,-0.14,-0.085,0.098,0.015,-0.112,0.045,-0.005,-0.095,-0.115,-0.135,-0.12
-0.055,-0.14,-0.085,0.098,0.015,-0.112,0.045,-0.004,-0.095,-0.115,-0.135,-0.12
-0.055,-0.14,-0.085,0.098,0.015,-0.112,0.045,-0.007,-0.095,-0.115,-0.135,-0.12
-0.055,-0.14,-0.085,0.098,0.015,-0.112,0.045,-0.01,-0.095,-0.115,-0.135,-0.12
-0.055,-0.14,-0.085,0.098,0.015,-0.112,0.045,-0.01,-0.095,-0.115,-0.135,-0.12
-0.051,-0.14,-0.089,0.095,0.019,-0.115,0.045,-0.01,-0.095,-0.115,-0.135,-0.124
-0.05,-0.14,-0.09,0.095,0.02,-0.115,0.045,-0.01,-0.096,-0.112,-0.135,-0.125
-0.05,-0.14,-0.09,0.095,0.02,-0.115,0.045,-0.01,-0.093,-0.109,-0.135,-0.125
-0.05,-0.14,-0.09,0.095,0.02,-0.115,0.045,-0.011,-0.09,-0.11,-0.135,-0.125
-0.05,-0.14,-0.09,0.095,0.02,-0.115,0.045,-0.015,-0.09,-0.11,-0.135,-0.125
-0.05,-0.14,-0.09,0.095,0.02,-0.115,0.045,-0.015,-0.09,-0.11,-0.135,-0.125
-0.05,-0.14,-0.09,0.095,0.02,-0.115,0.045,-0.015,-0.09,-0.11,-0.136,-0.122
-0.05,-0.14,-0.09,0.095,0.02,-0.115,0.045,-0.015,-0.09,-0.11,-0.133,-0.119
-0.051,-0.141,-0.09,0.096,0.02,-0.115,0.045,-0.016,-0.09,-0.11,-0.13,-0.12
-0.055,-0.145,-0.09,0.1,0.018,-0.117,0.045,-0.02,-0.09,-0.11,-0.13,-0.12
-0.055,-0.145,-0.09,0.1,0.018,-0.117,0.045,-0.02,-0.09,-0.11,-0.13,-0.12
-0.055,-0.144,-0.089,0.1,0.018,-0.116,0.045,-0.02,-0.09,-0.11,-0.13,-0.12
-0.055,-0.147,-0.092,0.101,0.019,-0.119,0.045,-0.02,-0.089,-0.109,-0.13,-0.12
-0.065,-0.15,-0.086,0.108,0.011,-0.118,0.044,-0.02,-0.092,-0.112,-0.13,-0.12
-0.075,-0.15,-0.075,0.113,0.0,-0.112,0.04,-0.02,-0.105,-0.12,-0.13,-0.12
-0.043,-0.15,-0.108,0.097,0.033,-0.129,0.04,-0.02,-0.11,-0.12,-0.13,-0.12
-0.028,-0.147,-0.119,0.088,0.046,-0.133,0.04,-0.02,-0.11,-0.12,-0.13,-0.12
-0.031,-0.144,-0.114,0.088,0.042,-0.129,0.04,-0.02,-0.11,-0.12,-0.13,-0.12
-0.03,-0.145,-0.115,0.088,0.043,-0.13,0.039,-0.02,-0.11,-0.12,-0.13,-0.12
-0.03,-0.145,-0.115,0.088,0.043,-0.13,0.035,-0.02,-0.11,-0.12,-0.13,-0.12
-0.03,-0.145,-0.115,0.088,0.043,-0.13,0.035,-0.02,-0.11,-0.12,-0.13,-0.116
-0.027,-0.142,-0.114,0.085,0.044,-0.128,0.035,-0.02,-0.11,-0.12,-0.133,-0.115
-0.023,-0.139,-0.117,0.082,0.047,-0.127,0.035,-0.02,-0.11,-0.12,-0.136,-0.115
-0.028,-0.14,-0.112,0.085,0.042,-0.126,0.034,-0.02,-0.11,-0.12,-0.135,-0.115
-0.035,-0.14,-0.105,0.088,0.035,-0.122,0.03,-0.02,-0.11,-0.12,-0.135,-0.115
-0.01,-0.14,-0.13,0.076,0.06,-0.135,0.03,-0.02,-0.11,-0.12,-0.135,-0.115
-0.004,-0.137,-0.133,0.071,0.064,-0.135,0.03,-0.02,-0.11,-0.12,-0.135,-0.115
-0.015,-0.134,-0.119,0.075,0.053,-0.127,0.03,-0.02,-0.11,-0.12,-0.135,-0.115
-0.021,-0.135,-0.114,0.079,0.047,-0.124,0.03,-0.02,-0.11,-0.12,-0.135,-0.115
-0.025,-0.135,-0.11,0.08,0.043,-0.122,0.03,-0.02,-0.11,-0.12,-0.135,-0.115
-0.032,-0.135,-0.102,0.084,0.035,-0.118,0.026,-0.02,-0.11,-0.12,-0.135,-0.115
-0.043,-0.136,-0.093,0.089,0.026,-0.114,0.025,-0.02,-0.11,-0.12,-0.135,-0.115
-0.044,-0.133,-0.089,0.089,0.023,-0.111,0.025,-0.02,-0.11,-0.12,-0.135,-0.115
-0.048,-0.13,-0.081,0.09,0.016,-0.105,0.025,-0.02,-0.11,-0.12,-0.135,-0.116
-0.055,-0.13,-0.075,0.093,0.01,-0.102,0.025,-0.02,-0.11,-0.12,-0.135,-0.12
-0.017,-0.13,-0.113,0.074,0.048,-0.121,0.021,-0.02,-0.11,-0.12,-0.139,-0.12
-0.012,-0.131,-0.118,0.071,0.053,-0.124,0.02,-0.019,-0.11,-0.12,-0.14,-0.12
-0.022,-0.128,-0.106,0.075,0.043,-0.117,0.02,-0.023,-0.11,-0.12,-0.14,-0.12
-0.021,-0.125,-0.104,0.073,0.042,-0.114,0.02,-0.032,-0.11,-0.12,-0.14,-0.12
-0.03,-0.125,-0.095,0.078,0.033,-0.11,0.02,-0.035,-0.11,-0.12,-0.14,-0.12
-0.034,-0.125,-0.091,0.08,0.029,-0.108,0.02,-0.035,-0.11,-0.12,-0.14,-0.12
-0.041,-0.125,-0.085,0.083,0.023,-0.104,0.023,-0.035,-0.111,-0.119,-0.14,-0.12
-0.049,-0.125,-0.076,0.087,0.014,-0.1,0.026,-0.035,-0.108,-0.122,-0.14,-0.12
-0.049,-0.126,-0.077,0.088,0.015,-0.101,0.025,-0.035,-0.105,-0.125,-0.14,-0.12
-0.04,-0.13,-0.09,0.085,0.025,-0.11,0.025,-0.035,-0.105,-0.125,-0.14,-0.12
-0.039,-0.134,-0.095,0.087,0.028,-0.115,0.025,-0.035,-0.105,-0.125,-0.14,-0.12
-0.044,-0.138,-0.094,0.092,0.026,-0.116,0.024,-0.035,-0.105,-0.125,-0.14,-0.12
-0.043,-0.14,-0.097,0.092,0.027,-0.118,0.027,-0.035,-0.105,-0.125,-0.14,-0.12
-0.04,-0.14,-0.1,0.09,0.03,-0.12,0.03,-0.035,-0.105,-0.125,-0.141,-0.12
-0.04,-0.14,-0.1,0.09,0.03,-0.12,0.03,-0.035,-0.105,-0.125,-0.145,-0.12
-0.036,-0.14,-0.104,0.089,0.034,-0.122,0.03,-0.035,-0.105,-0.125,-0.145,-0.12
-0.035,-0.14,-0.105,0.088,0.035,-0.122,0.03,-0.035,-0.105,-0.125,-0.145,-0.12
-0.05,-0.157,-0.107,0.104,0.029,-0.132,0.03,-0.035,-0.105,-0.125,-0.145,-0.12
-0.067,-0.177,-0.11,0.122,0.022,-0.143,0.029,-0.035,-0.105,-0.125,-0.145,-0.12
-0.06,-0.17,-0.11,0.115,0.025,-0.14,0.025,-0.035,-0.105,-0.125,-0.145,-0.12
-0.043,-0.17,-0.127,0.106,0.042,-0.148,0.025,-0.035,-0.105,-0.125,-0.145,-0.12
-0.038,-0.167,-0.129,0.103,0.046,-0.148,0.025,-0.035,-0.105,-0.125,-0.145,-0.12
-0.043,-0.165,-0.122,0.104,0.04,-0.143,0.025,-0.035,-0.105,-0.125,-0.145,-0.12
-0.045,-0.164,-0.119,0.105,0.037,-0.141,0.025,-0.035,-0.105,-0.125,-0.145,-0.12
-0.045,-0.16,-0.115,0.103,0.035,-0.137,0.025,-0.035,-0.105,-0.125,-0.145,-0.12
-0.049,-0.16,-0.111,0.105,0.031,-0.136,0.025,-0.035,-0.105,-0.125,-0.145,-0.12
-0.05,-0.157,-0.107,0.104,0.029,-0.132,0.025,-0.035,-0.105,-0.125,-0.145,-0.117
-0.051,-0.155,-0.104,0.103,0.027,-0.129,0.025,-0.035,-0.105,-0.125,-0.145,-0.114
-0.048,-0.154,-0.106,0.102,0.029,-0.13,0.025,-0.035,-0.105,-0.125,-0.145,-0.115
-0.04,-0.15,-0.11,0.095,0.035,-0.13,0.025,-0.035,-0.105,-0.125,-0.145,-0.115
-0.044,-0.15,-0.106,0.098,0.031,-0.128,0.025,-0.035,-0.105,-0.125,-0.145,-0.115
-0.042,-0.147,-0.104,0.095,0.031,-0.125,0.025,-0.034,-0.105,-0.125,-0.145,-0.115
-0.04,-0.145,-0.105,0.093,0.033,-0.125,0.025,-0.037,-0.105,-0.125,-0.145,-0.115
-0.039,-0.144,-0.105,0.092,0.033,-0.125,0.025,-0.04,-0.105,-0.125,-0.145,-0.115
-0.035,-0.14,-0.105,0.088,0.035,-0.122,0.025,-0.04,-0.105,-0.125,-0.145,-0.115
-0.035,-0.14,-0.105,0.088,0.035,-0.122,0.025,-0.04,-0.109,-0.121,-0.145,-0.115
-0.036,-0.141,-0.105,0.089,0.034,-0.122,0.025,-0.04,-0.11,-0.12,-0.145,-0.115
-0.033,-0.138,-0.105,0.086,0.037,-0.121,0.025,-0.04,-0.11,-0.12,-0.145,-0.115
-0.03,-0.135,-0.104,0.083,0.037,-0.119,0.025,-0.04,-0.11,-0.12,-0.145,-0.115
-0.035,-0.135,-0.1,0.085,0.033,-0.117,0.025,-0.04,-0.11,-0.12,-0.145,-0.115
-0.036,-0.135,-0.1,0.086,0.033,-0.117,0.025,-0.04,-0.11,-0.12,-0.145,-0.115
-0.032,-0.132,-0.1,0.082,0.034,-0.116,0.025,-0.04,-0.11,-0.12,-0.145,-0.115
-0.03,-0.129,-0.1,0.079,0.035,-0.115,0.025,-0.04,-0.11,-0.12,-0.145,-0.115
-0.03,-0.13,-0.1,0.08,0.035,-0.115,0.025,-0.04,-0.11,-0.119,-0.145,-0.115
-0.03,-0.13,-0.1,0.08,0.035,-0.115,0.025,-0.04,-0.11,-0.115,-0.145,-0.115
-0.03,-0.13,-0.1,0.08,0.035,-0.115,0.025,-0.04,-0.11,-0.115,-0.145,-0.115
-0.03,-0.131,-0.101,0.08,0.035,-0.115,0.022,-0.043,-0.11,-0.115,-0.145,-0.115
-0.046,-0.144,-0.098,0.095,0.027,-0.121,0.019,-0.046,-0.11,-0.115,-0.145,-0.115
-0.061,-0.156,-0.095,0.109,0.017,-0.125,0.02,-0.045,-0.11,-0.115,-0.145,-0.115
-0.055,-0.15,-0.095,0.103,0.02,-0.122,0.02,-0.045,-0.11,-0.115,-0.145,-0.115
-0.055,-0.15,-0.095,0.103,0.02,-0.122,0.02,-0.045,-0.11,-0.115,-0.145,-0.115
-0.052,-0.147,-0.095,0.1,0.022,-0.121,0.021,-0.045,-0.11,-0.116,-0.145,-0.115
-0.05,-0.145,-0.095,0.098,0.023,-0.12,0.018,-0.045,-0.11,-0.113,-0.145,-0.115
-0.049,-0.144,-0.095,0.097,0.023,-0.12,0.015,-0.045,-0.11,-0.11,-0.145,-0.114
-0.045,-0.14,-0.095,0.093,0.025,-0.117,0.015,-0.045,-0.11,-0.11,-0.145,-0.11
-0.045,-0.14,-0.095,0.093,0.025,-0.117,0.015,-0.045,-0.11,-0.11,-0.145,-0.11
-0.041,-0.137,-0.096,0.09,0.027,-0.116,0.015,-0.045,-0.111,-0.11,-0.145,-0.11
-0.042,-0.135,-0.093,0.089,0.026,-0.114,0.015,-0.045,-0.108,-0.11,-0.145,-0.11
-0.045,-0.134,-0.09,0.089,0.023,-0.111,0.015,-0.045,-0.105,-0.11,-0.145,-0.11
-0.04,-0.13,-0.09,0.085,0.025,-0.11,0.015,-0.045,-0.105,-0.11,-0.145,-0.11
-0.04,-0.13,-0.09,0.085,0.025,-0.11,0.011,-0.041,-0.105,-0.11,-0.145,-0.106
-0.04,-0.127,-0.087,0.084,0.024,-0.107,0.01,-0.04,-0.105,-0.109,-0.145,-0.105
-0.04,-0.125,-0.085,0.083,0.023,-0.105,0.01,-0.038,-0.105,-0.113,-0.145,-0.105
-0.039,-0.124,-0.085,0.082,0.023,-0.104,0.01,-0.035,-0.105,-0.122,-0.145,-0.105
-0.035,-0.12,-0.085,0.078,0.025,-0.102,0.01,-0.035,-0.105,-0.125,-0.145,-0.105
-0.031,-0.12,-0.089,0.076,0.029,-0.105,0.01,-0.031,-0.101,-0.121,-0.145,-0.105
-0.027,-0.117,-0.09,0.072,0.032,-0.103,0.007,-0.03,-0.1,-0.12,-0.145,-0.106
-0.025,-0.115,-0.09,0.07,0.033,-0.102,0.004,-0.028,-0.1,-0.118,-0.145,-0.103
-0.025,-0.115,-0.09,0.07,0.033,-0.102,0.005,-0.025,-0.1,-0.114,-0.144,-0.1
-0.02,-0.11,-0.09,0.065,0.035,-0.1,0.005,-0.025,-0.1,-0.115,-0.14,-0.1
-0.017,-0.107,-0.09,0.062,0.036,-0.099,0.005,-0.021,-0.1,-0.116,-0.135,-0.1
-0.037,-0.127,-0.09,0.082,0.027,-0.108,0.005,-0.02,-0.101,-0.112,-0.135,-0.1
-0.044,-0.134,-0.09,0.089,0.024,-0.111,0.005,-0.018,-0.098,-0.11,-0.133,-0.1
-0.033,-0.123,-0.09,0.078,0.029,-0.106,0.006,-0.015,-0.095,-0.109,-0.13,-0.099
-0.03,-0.12,-0.09,0.075,0.03,-0.105,0.01,-0.015,-0.095,-0.105,-0.13,-0.095
-0.022,-0.112,-0.09,0.067,0.034,-0.101,0.014,-0.011,-0.095,-0.105,-0.126,-0.095
-0.016,-0.107,-0.091,0.061,0.038,-0.099,0.018,-0.01,-0.095,-0.106,-0.121,-0.095
-0.016,-0.101,-0.085,0.059,0.035,-0.093,0.022,-0.008,-0.095,-0.103,-0.12,-0.095
-0.021,-0.094,-0.072,0.058,0.026,-0.083,0.026,-0.004,-0.095,-0.1,-0.119,-0.095
-0.025,-0.09,-0.065,0.058,0.02,-0.077,0.03,-0.005,-0.095,-0.1,-0.115,-0.095
-0.025,-0.082,-0.057,0.054,0.016,-0.069,0.033,-0.005,-0.091,-0.096,-0.115,-0.095
-0.025,-0.074,-0.049,0.05,0.012,-0.061,0.044,-0.002,-0.09,-0.094,-0.112,-0.092
-0.025,-0.066,-0.041,0.046,0.008,-0.053,0.055,0.0,-0.09,-0.096,-0.11,-0.089
-0.025,-0.058,-0.033,0.042,0.004,-0.045,0.061,0.0,-0.09,-0.094,-0.109,-0.09
-0.025,-0.05,-0.025,0.038,0.0,-0.037,0.065,0.0,-0.09,-0.09,-0.105,-0.09
-0.021,-0.042,-0.021,0.031,0.0,-0.031,0.069,0.0,-0.09,-0.09,-0.105,-0.09
-0.019,-0.035,-0.017,0.027,-0.001,-0.026,0.071,0.003,-0.09,-0.09,-0.102,-0.09
-0.022,-0.037,-0.015,0.031,-0.003,-0.026,0.068,0.006,-0.09,-0.092,-0.099,-0.09
-0.025,-0.039,-0.014,0.032,-0.005,-0.026,0.064,0.005,-0.09,-0.095,-0.101,-0.09
-0.02,-0.03,-0.01,0.025,-0.005,-0.02,0.06,0.005,-0.09,-0.095,-0.105,-0.09
-0.02,-0.026,-0.006,0.023,-0.007,-0.016,0.056,0.009,-0.09,-0.095,-0.105,-0.09
-0.019,-0.023,-0.004,0.021,-0.007,-0.013,0.052,0.01,-0.09,-0.095,-0.105,-0.09
-0.008,-0.016,-0.008,0.013,0.0,-0.011,0.048,0.01,-0.09,-0.095,-0.105,-0.09
0.01,-0.008,-0.018,0.0,0.014,-0.013,0.044,0.01,-0.089,-0.095,-0.105,-0.09
0.02,-0.005,-0.025,-0.007,0.023,-0.015,0.04,0.01,-0.085,-0.095,-0.105,-0.09
0.012,-0.005,-0.017,-0.003,0.015,-0.011,0.036,0.006,-0.085,-0.095,-0.105,-0.086
0.041,0.03,-0.011,-0.035,0.026,0.009,0.032,0.001,-0.085,-0.095,-0.108,-0.085
0.053,0.045,-0.009,-0.049,0.031,0.017,0.028,0.0,-0.085,-0.095,-0.111,-0.085
0.03,0.027,-0.003,-0.028,0.016,0.011,0.024,-0.001,-0.085,-0.096,-0.11,-0.085
0.015,0.02,0.005,-0.018,0.005,0.012,0.02,-0.005,-0.085,-0.1,-0.11,-0.085
-0.001,0.008,0.009,-0.004,-0.005,0.008,0.016,-0.005,-0.085,-0.1,-0.11,-0.085
-0.016,-0.001,0.015,0.008,-0.015,0.007,0.015,-0.007,-0.085,-0.1,-0.11,-0.085
-0.022,-0.011,0.011,0.016,-0.016,0.0,0.013,-0.013,-0.085,-0.1,-0.11,-0.085
-0.019,-0.022,-0.004,0.021,-0.008,-0.013,0.01,-0.015,-0.085,-0.1,-0.111,-0.085
-0.015,-0.03,-0.015,0.023,0.0,-0.022,0.01,-0.015,-0.085,-0.1,-0.115,-0.085
-0.015,-0.038,-0.023,0.027,0.004,-0.03,0.006,-0.019,-0.085,-0.1,-0.115,-0.085
-0.013,-0.046,-0.033,0.03,0.01,-0.04,0.004,-0.02,-0.084,-0.1,-0.115,-0.085
-0.007,-0.054,-0.047,0.03,0.02,-0.05,0.006,-0.022,-0.087,-0.1,-0.115,-0.085
-0.006,-0.063,-0.057,0.035,0.025,-0.059,0.004,-0.026,-0.09,-0.099,-0.115,-0.086
-0.005,-0.07,-0.065,0.038,0.03,-0.067,0.0,-0.03,-0.09,-0.1,-0.115,-0.09
0.02,-0.066,-0.086,0.023,0.053,-0.075,0.0,-0.038,-0.098,-0.112,-0.114,-0.093
0.031,-0.064,-0.095,0.017,0.063,-0.079,-0.003,-0.043,-0.107,-0.119,-0.121,-0.107
0.029,-0.066,-0.095,0.019,0.062,-0.081,-0.005,-0.049,-0.112,-0.122,-0.127,-0.119
0.014,-0.081,-0.095,0.034,0.055,-0.088,-0.005,-0.057,-0.116,-0.126,-0.132,-0.12
-0.015,-0.11,-0.095,0.063,0.04,-0.102,-0.005,-0.06,-0.12,-0.13,-0.14,-0.12
-0.021,-0.116,-0.095,0.069,0.038,-0.105,-0.001,-0.056,-0.12,-0.13,-0.145,-0.12
-0.019,-0.114,-0.095,0.067,0.039,-0.105,0.0,-0.054,-0.123,-0.133,-0.145,-0.12
-0.022,-0.117,-0.095,0.07,0.037,-0.106,0.0,-0.056,-0.126,-0.135,-0.145,-0.12
-0.025,-0.12,-0.095,0.073,0.035,-0.107,0.0,-0.054,-0.125,-0.136,-0.145,-0.12
-0.025,-0.12,-0.095,0.073,0.035,-0.107,0.0,-0.05,-0.125,-0.14,-0.145,-0.12
-0.039,-0.134,-0.095,0.087,0.028,-0.114,0.0,-0.05,-0.129,-0.14,-0.145,-0.12
-0.069,-0.164,-0.095,0.117,0.013,-0.129,0.0,-0.05,-0.13,-0.143,-0.145,-0.12
-0.081,-0.176,-0.095,0.129,0.007,-0.135,0.0,-0.05,-0.13,-0.146,-0.145,-0.12
-0.074,-0.169,-0.095,0.122,0.011,-0.131,0.0,-0.049,-0.129,-0.145,-0.145,-0.12
-0.075,-0.17,-0.095,0.123,0.01,-0.132,0.0,-0.045,-0.125,-0.145,-0.145,-0.12
-0.075,-0.17,-0.095,0.123,0.01,-0.132,0.0,-0.045,-0.125,-0.145,-0.145,-0.12
-0.075,-0.17,-0.095,0.123,0.01,-0.132,0.0,-0.045,-0.125,-0.145,-0.145,-0.12
-0.075,-0.17,-0.095,0.123,0.01,-0.132,0.0,-0.045,-0.125,-0.145,-0.145,-0.12
-0.075,-0.17,-0.095,0.123,0.01,-0.132,0.001,-0.044,-0.125,-0.145,-0.145,-0.12
-0.075,-0.17,-0.095,0.123,0.01,-0.132,0.005,-0.04,-0.125,-0.145,-0.145,-0.12
-0.074,-0.17,-0.096,0.123,0.011,-0.132,0.005,-0.04,-0.125,-0.145,-0.145,-0.12
-0.078,-0.17,-0.092,0.124,0.007,-0.13,0.005,-0.041,-0.126,-0.145,-0.145,-0.12
-0.064,-0.171,-0.107,0.118,0.022,-0.138,0.005,-0.038,-0.123,-0.145,-0.145,-0.12
-0.042,-0.169,-0.127,0.106,0.042,-0.147,0.005,-0.035,-0.12,-0.145,-0.145,-0.12
-0.05,-0.17,-0.12,0.11,0.035,-0.145,0.005,-0.035,-0.12,-0.145,-0.145,-0.12
-0.076,-0.196,-0.119,0.136,0.022,-0.158,0.005,-0.035,-0.12,-0.145,-0.145,-0.12
-0.078,-0.199,-0.121,0.139,0.021,-0.16,0.005,-0.036,-0.12,-0.145,-0.145,-0.12
-0.076,-0.194,-0.118,0.135,0.021,-0.156,0.005,-0.033,-0.12,-0.145,-0.145,-0.12
-0.08,-0.194,-0.115,0.138,0.018,-0.155,0.005,-0.03,-0.12,-0.145,-0.145,-0.12
-0.075,-0.19,-0.115,0.133,0.02,-0.152,0.005,-0.03,-0.12,-0.145,-0.145,-0.12
-0.076,-0.19,-0.114,0.134,0.019,-0.152,0.005,-0.03,-0.121,-0.145,-0.145,-0.12
-0.065,-0.187,-0.121,0.127,0.028,-0.154,0.004,-0.032,-0.109,-0.144,-0.145,-0.119
-0.059,-0.185,-0.126,0.122,0.034,-0.155,0.007,-0.022,-0.093,-0.146,-0.145,-0.123
-0.049,-0.184,-0.135,0.117,0.043,-0.159,0.01,0.0,-0.082,-0.142,-0.145,-0.132
-0.02,-0.18,-0.16,0.1,0.07,-0.17,0.015,0.02,-0.07,-0.125,-0.15,-0.135
-0.015,-0.18,-0.165,0.098,0.075,-0.172,0.046,0.05,-0.062,-0.113,-0.168,-0.139
-0.011,-0.176,-0.166,0.094,0.078,-0.171,0.076,0.133,-0.018,-0.097,-0.16,-0.143
-0.015,-0.176,-0.162,0.096,0.074,-0.169,0.108,0.233,0.033,-0.086,-0.144,-0.146
-0.009,-0.171,-0.162,0.09,0.077,-0.166,0.143,0.323,0.086,-0.066,-0.13,-0.152
0.035,-0.15,-0.185,0.058,0.11,-0.167,0.165,0.415,0.165,-0.02,-0.105,-0.15
0.071,-0.137,-0.209,0.033,0.14,-0.173,0.18,0.498,0.251,0.021,-0.084,-0.111
0.109,-0.091,-0.2,-0.009,0.155,-0.145,0.205,0.548,0.353,0.093,-0.034,-0.075
0.137,-0.047,-0.184,-0.045,0.161,-0.115,0.199,0.53,0.454,0.191,0.037,-0.025
0.182,0.021,-0.161,-0.102,0.172,-0.069,0.136,0.418,0.54,0.315,0.143,0.075
0.255,0.165,-0.09,-0.21,0.172,0.037,0.045,0.225,0.62,0.475,0.3,0.215
0.277,0.306,0.029,-0.292,0.123,0.167,-0.058,-0.031,0.695,0.639,0.462,0.365
0.339,0.478,0.139,-0.409,0.1,0.308,-0.206,-0.386,0.702,0.801,0.643,0.53
0.44,0.656,0.216,-0.548,0.112,0.436,-0.369,-0.78,0.684,0.956,0.819,0.696
0.476,0.804,0.328,-0.64,0.074,0.566,-0.489,-1.114,0.678,1.092,0.964,0.837
0.43,0.95,0.52,-0.69,-0.045,0.735,-0.56,-1.37,0.665,1.22,1.115,0.97
0.432,1.121,0.689,-0.777,-0.128,0.905,-0.63,-1.61,0.657,1.362,1.298,1.139
0.356,1.17,0.814,-0.763,-0.229,0.991,-0.679,-1.77,0.638,1.432,1.29,1.205
0.259,1.089,0.83,-0.674,-0.285,0.959,-0.742,-1.874,0.544,1.358,1.221,1.154
0.181,0.945,0.764,-0.563,-0.292,0.854,-0.815,-1.914,0.367,1.158,1.141,1.045
0.075,0.785,0.71,-0.43,-0.318,0.747,-0.84,-1.865,0.19,0.925,0.95,0.92
0.003,0.656,0.654,-0.33,-0.326,0.655,-0.806,-1.827,0.049,0.729,0.789,0.797
-0.047,0.555,0.602,-0.254,-0.325,0.578,-0.769,-1.804,-0.21,0.48,0.617,0.66
-0.142,0.417,0.559,-0.137,-0.352,0.488,-0.724,-1.801,-0.55,0.174,0.404,0.493
-0.25,0.261,0.511,-0.006,-0.381,0.386,-0.666,-1.759,-0.808,-0.089,0.201,0.336
-0.26,0.165,0.425,0.047,-0.343,0.295,-0.615,-1.61,-0.87,-0.215,0.075,0.23
-0.192,0.096,0.288,0.048,-0.24,0.192,-0.559,-1.404,-0.773,-0.234,0.013,0.147
-0.181,0.0,0.181,0.09,-0.181,0.09,-0.506,-1.195,-0.687,-0.251,-0.047,0.089
-0.188,-0.073,0.115,0.13,-0.151,0.021,-0.436,-0.998,-0.617,-0.258,-0.095,0.04
-0.163,-0.11,0.053,0.137,-0.108,-0.028,-0.349,-0.816,-0.536,-0.241,-0.121,-0.004
-0.145,-0.15,-0.005,0.148,-0.07,-0.077,-0.275,-0.65,-0.465,-0.23,-0.14,-0.035
-0.149,-0.172,-0.023,0.161,-0.062,-0.098,-0.218,-0.5,-0.387,-0.218,-0.137,-0.069
-0.146,-0.179,-0.033,0.163,-0.056,-0.106,-0.164,-0.404,-0.329,-0.206,-0.134,-0.08
-0.133,-0.18,-0.047,0.157,-0.043,-0.113,-0.12,-0.337,-0.28,-0.194,-0.135,-0.081
-0.124,-0.181,-0.057,0.153,-0.033,-0.118,-0.086,-0.275,-0.236,-0.182,-0.135,-0.086
-0.115,-0.185,-0.07,0.15,-0.022,-0.127,-0.05,-0.215,-0.205,-0.17,-0.135,-0.09
-0.09,-0.189,-0.099,0.14,0.004,-0.143,-0.022,-0.153,-0.176,-0.158,-0.135,-0.091
-0.08,-0.194,-0.114,0.137,0.017,-0.154,0.005,-0.114,-0.157,-0.145,-0.135,-0.087
-0.079,-0.194,-0.115,0.137,0.019,-0.155,0.021,-0.085,-0.142,-0.137,-0.135,-0.084
-0.074,-0.197,-0.123,0.136,0.025,-0.16,0.026,-0.06,-0.126,-0.135,-0.134,-0.085
-0.07,-0.21,-0.14,0.14,0.035,-0.175,0.03,-0.045,-0.11,-0.135,-0.13,-0.085
-0.066,-0.211,-0.145,0.139,0.04,-0.177,0.038,-0.029,-0.096,-0.135,-0.13,-0.085
-0.065,-0.21,-0.144,0.138,0.04,-0.176,0.043,-0.013,-0.097,-0.132,-0.13,-0.086
-0.063,-0.21,-0.147,0.137,0.042,-0.178,0.049,0.002,-0.101,-0.129,-0.13,-0.083
-0.059,-0.21,-0.15,0.134,0.045,-0.18,0.056,0.012,-0.1,-0.13,-0.13,-0.089
-0.06,-0.21,-0.15,0.135,0.045,-0.18,0.06,0.015,-0.1,-0.13,-0.13,-0.105
-0.063,-0.218,-0.155,0.141,0.046,-0.186,0.064,0.019,-0.104,-0.13,-0.13,-0.102
-0.071,-0.225,-0.153,0.149,0.041,-0.189,0.065,0.021,-0.105,-0.127,-0.131,-0.099
-0.06,-0.223,-0.163,0.142,0.052,-0.193,0.065,0.019,-0.106,-0.124,-0.128,-0.1
-0.053,-0.229,-0.176,0.141,0.062,-0.202,0.065,0.022,-0.103,-0.125,-0.125,-0.1
-0.085,-0.25,-0.165,0.168,0.04,-0.207,0.07,0.03,-0.095,-0.125,-0.125,-0.1
-0.102,-0.255,-0.153,0.179,0.026,-0.204,0.092,0.034,-0.091,-0.121,-0.125,-0.1
-0.081,-0.255,-0.174,0.169,0.047,-0.214,0.094,0.038,-0.084,-0.12,-0.125,-0.1
-0.069,-0.255,-0.186,0.162,0.059,-0.221,0.089,0.043,-0.078,-0.12,-0.125,-0.1
-0.076,-0.255,-0.179,0.165,0.052,-0.216,0.09,0.045,-0.073,-0.12,-0.125,-0.099
-0.075,-0.255,-0.18,0.165,0.053,-0.217,0.09,0.045,-0.065,-0.12,-0.125,-0.095
-0.079,-0.255,-0.176,0.167,0.049,-0.215,0.09,0.053,-0.061,-0.116,-0.125,-0.095
-0.08,-0.255,-0.175,0.168,0.048,-0.215,0.09,0.058,-0.057,-0.115,-0.126,-0.095
-0.082,-0.255,-0.173,0.169,0.046,-0.214,0.09,0.064,-0.054,-0.115,-0.123,-0.095
