I,II,III,aVR,aVL,aVF
0.007,-0.1,-0.107,0.047,0.057,-0.104
0.008,-0.1,-0.109,0.046,0.058,-0.104
0.006,-0.098,-0.104,0.047,0.055,-0.101
0.01,-0.095,-0.105,0.043,0.058,-0.1
0.01,-0.095,-0.105,0.043,0.058,-0.1
0.014,-0.091,-0.105,0.039,0.06,-0.097
0.015,-0.09,-0.106,0.038,0.06,-0.097
0.015,-0.088,-0.103,0.037,0.059,-0.095
0.015,-0.085,-0.1,0.035,0.058,-0.092
0.015,-0.085,-0.1,0.035,0.058,-0.092
0.019,-0.081,-0.1,0.031,0.06,-0.09
0.02,-0.08,-0.1,0.03,0.06,-0.09
0.022,-0.078,-0.1,0.028,0.062,-0.089
0.024,-0.075,-0.099,0.025,0.062,-0.087
0.02,-0.075,-0.095,0.028,0.058,-0.085
0.024,-0.071,-0.095,0.024,0.059,-0.082
0.025,-0.07,-0.096,0.023,0.06,-0.082
0.026,-0.067,-0.093,0.021,0.06,-0.08
0.032,-0.058,-0.089,0.013,0.061,-0.074
0.04,-0.05,-0.09,0.005,0.065,-0.07
0.049,-0.042,-0.091,-0.003,0.07,-0.066
0.05,-0.034,-0.084,-0.008,0.067,-0.059
0.051,-0.026,-0.077,-0.013,0.064,-0.051
0.056,-0.018,-0.074,-0.018,0.065,-0.046
0.06,-0.01,-0.07,-0.025,0.065,-0.04
0.064,0.002,-0.062,-0.033,0.063,-0.029
0.068,0.011,-0.056,-0.039,0.062,-0.022
0.072,0.019,-0.053,-0.045,0.062,-0.017
0.075,0.027,-0.048,-0.051,0.061,-0.01
0.075,0.035,-0.04,-0.055,0.057,-0.002
0.075,0.043,-0.032,-0.059,0.053,0.005
0.075,0.051,-0.024,-0.063,0.049,0.013
0.074,0.058,-0.016,-0.066,0.045,0.021
0.076,0.068,-0.008,-0.072,0.042,0.03
0.08,0.08,0.0,-0.08,0.04,0.04
0.078,0.082,0.004,-0.081,0.037,0.043
0.096,0.104,0.008,-0.1,0.043,0.055
0.107,0.119,0.012,-0.113,0.047,0.065
0.106,0.122,0.016,-0.115,0.045,0.069
0.12,0.14,0.02,-0.13,0.05,0.08
0.132,0.156,0.024,-0.145,0.054,0.09
0.143,0.171,0.028,-0.157,0.057,0.099
0.142,0.175,0.032,-0.159,0.055,0.103
0.133,0.169,0.036,-0.152,0.049,0.102
0.135,0.17,0.035,-0.153,0.05,0.102
0.149,0.182,0.033,-0.166,0.057,0.108
0.145,0.191,0.047,-0.169,0.048,0.119
0.14,0.199,0.059,-0.17,0.04,0.129
0.146,0.215,0.069,-0.181,0.039,0.141
0.15,0.235,0.085,-0.193,0.032,0.16
0.154,0.24,0.086,-0.197,0.034,0.162
0.159,0.243,0.084,-0.202,0.037,0.164
0.158,0.244,0.086,-0.202,0.036,0.165
0.155,0.239,0.084,-0.197,0.036,0.161
0.15,0.235,0.085,-0.193,0.032,0.16
0.124,0.235,0.111,-0.18,0.006,0.173
0.12,0.233,0.112,-0.177,0.004,0.172
0.127,0.227,0.1,-0.178,0.014,0.163
0.132,0.225,0.093,-0.179,0.019,0.159
0.14,0.225,0.085,-0.183,0.027,0.155
0.136,0.214,0.077,-0.175,0.03,0.145
0.133,0.201,0.068,-0.167,0.032,0.134
0.125,0.189,0.064,-0.157,0.03,0.126
0.121,0.178,0.057,-0.149,0.032,0.117
0.13,0.17,0.04,-0.15,0.045,0.105
0.13,0.158,0.028,-0.144,0.05,0.093
0.134,0.147,0.013,-0.141,0.06,0.08
0.132,0.13,-0.002,-0.131,0.067,0.063
0.115,0.103,-0.012,-0.109,0.064,0.046
0.1,0.08,-0.02,-0.09,0.06,0.03
0.096,0.068,-0.028,-0.082,0.061,0.019
0.092,0.056,-0.036,-0.074,0.064,0.01
0.088,0.044,-0.044,-0.066,0.066,0.0
0.084,0.032,-0.051,-0.058,0.067,-0.009
0.075,0.02,-0.055,-0.047,0.065,-0.017
0.063,0.004,-0.059,-0.034,0.061,-0.027
0.051,-0.012,-0.063,-0.019,0.057,-0.037
0.038,-0.029,-0.066,-0.004,0.052,-0.047
0.012,-0.051,-0.063,0.02,0.038,-0.057
0.0,-0.065,-0.065,0.033,0.033,-0.065
0.053,-0.046,-0.099,-0.003,0.077,-0.072
0.038,-0.067,-0.105,0.015,0.072,-0.086
0.007,-0.092,-0.098,0.042,0.053,-0.095
0.011,-0.09,-0.101,0.04,0.056,-0.095
0.005,-0.095,-0.1,0.045,0.053,-0.097
-0.004,-0.1,-0.096,0.052,0.046,-0.097
-0.006,-0.1,-0.094,0.053,0.044,-0.096
-0.005,-0.102,-0.097,0.054,0.046,-0.099
-0.014,-0.105,-0.092,0.06,0.039,-0.098
-0.025,-0.11,-0.085,0.068,0.03,-0.097
-0.009,-0.127,-0.119,0.068,0.055,-0.122
-0.006,-0.129,-0.123,0.068,0.059,-0.126
-0.013,-0.124,-0.111,0.069,0.05,-0.117
-0.016,-0.125,-0.11,0.07,0.047,-0.117
-0.02,-0.125,-0.105,0.073,0.043,-0.115
-0.028,-0.125,-0.097,0.077,0.035,-0.111
-0.033,-0.125,-0.092,0.079,0.03,-0.108
-0.037,-0.125,-0.088,0.081,0.026,-0.106
-0.041,-0.124,-0.084,0.083,0.022,-0.104
-0.04,-0.12,-0.08,0.08,0.02,-0.1
-0.035,-0.116,-0.08,0.075,0.023,-0.097
-0.038,-0.115,-0.077,0.077,0.02,-0.096
-0.039,-0.114,-0.075,0.077,0.018,-0.094
-0.034,-0.109,-0.074,0.072,0.02,-0.091
-0.035,-0.105,-0.07,0.07,0.018,-0.087
-0.035,-0.105,-0.07,0.07,0.018,-0.087
-0.035,-0.102,-0.067,0.069,0.016,-0.084
-0.035,-0.1,-0.065,0.068,0.015,-0.082
-0.035,-0.099,-0.064,0.068,0.015,-0.081
-0.035,-0.095,-0.06,0.065,0.013,-0.077
-0.036,-0.095,-0.059,0.065,0.012,-0.076
-0.028,-0.096,-0.067,0.062,0.02,-0.081
-0.026,-0.093,-0.067,0.059,0.021,-0.08
-0.031,-0.09,-0.058,0.061,0.014,-0.074
-0.035,-0.09,-0.055,0.063,0.01,-0.072
-0.039,-0.086,-0.047,0.063,0.004,-0.066
-0.042,-0.084,-0.042,0.064,0.0,-0.063
-0.049,-0.086,-0.036,0.067,-0.006,-0.06
-0.056,-0.084,-0.029,0.07,-0.013,-0.056
-0.055,-0.08,-0.025,0.068,-0.015,-0.052
-0.059,-0.08,-0.021,0.069,-0.019,-0.05
-0.063,-0.08,-0.017,0.072,-0.023,-0.048
-0.067,-0.08,-0.013,0.074,-0.027,-0.046
-0.071,-0.08,-0.009,0.076,-0.031,-0.044
-0.075,-0.08,-0.005,0.078,-0.035,-0.042
-0.079,-0.08,-0.001,0.08,-0.039,-0.04
-0.082,-0.08,0.002,0.081,-0.042,-0.039
-0.072,-0.08,-0.008,0.076,-0.032,-0.044
-0.049,-0.08,-0.031,0.065,-0.009,-0.055
-0.035,-0.08,-0.045,0.058,0.005,-0.062
-0.038,-0.08,-0.041,0.059,0.001,-0.061
-0.041,-0.081,-0.039,0.061,-0.001,-0.06
-0.038,-0.078,-0.04,0.058,0.001,-0.059
-0.035,-0.075,-0.04,0.055,0.003,-0.057
-0.035,-0.075,-0.04,0.055,0.003,-0.057
-0.035,-0.075,-0.04,0.055,0.003,-0.057
-0.035,-0.075,-0.04,0.055,0.003,-0.057
-0.035,-0.075,-0.04,0.055,0.003,-0.057
-0.035,-0.075,-0.04,0.055,0.003,-0.057
-0.035,-0.075,-0.04,0.055,0.003,-0.057
-0.035,-0.075,-0.04,0.055,0.003,-0.057
-0.035,-0.075,-0.04,0.055,0.003,-0.057
-0.035,-0.075,-0.04,0.055,0.003,-0.057
-0.036,-0.075,-0.039,0.055,0.002,-0.057
-0.04,-0.075,-0.035,0.058,-0.002,-0.055
-0.041,-0.075,-0.035,0.059,-0.002,-0.055
-0.037,-0.072,-0.035,0.055,-0.001,-0.053
-0.034,-0.069,-0.035,0.052,0.0,-0.052
-0.035,-0.07,-0.035,0.053,0.0,-0.052
-0.035,-0.07,-0.035,0.053,0.0,-0.052
-0.031,-0.066,-0.035,0.049,0.003,-0.05
-0.03,-0.065,-0.035,0.048,0.003,-0.05
-0.03,-0.065,-0.035,0.048,0.003,-0.05
-0.03,-0.065,-0.035,0.048,0.003,-0.05
-0.03,-0.065,-0.035,0.048,0.003,-0.05
-0.026,-0.061,-0.035,0.044,0.005,-0.047
-0.024,-0.059,-0.035,0.042,0.006,-0.047
-0.027,-0.061,-0.034,0.044,0.003,-0.047
-0.031,-0.059,-0.028,0.045,-0.001,-0.044
-0.025,-0.055,-0.03,0.04,0.003,-0.042
0.001,-0.055,-0.056,0.027,0.029,-0.055
0.004,-0.055,-0.059,0.026,0.032,-0.057
-0.002,-0.055,-0.054,0.029,0.026,-0.055
0.001,-0.054,-0.055,0.027,0.029,-0.055
0.005,-0.05,-0.055,0.023,0.03,-0.052
0.006,-0.05,-0.055,0.023,0.03,-0.052
0.002,-0.05,-0.052,0.024,0.027,-0.051
0.0,-0.05,-0.049,0.025,0.025,-0.05
-0.001,-0.051,-0.05,0.026,0.025,-0.05
-0.005,-0.055,-0.05,0.03,0.023,-0.052
-0.005,-0.055,-0.05,0.03,0.023,-0.052
-0.008,-0.055,-0.047,0.032,0.02,-0.051
-0.011,-0.055,-0.044,0.033,0.017,-0.05
-0.01,-0.055,-0.045,0.033,0.018,-0.05
-0.01,-0.055,-0.045,0.033,0.018,-0.05
-0.011,-0.056,-0.045,0.034,0.017,-0.05
-0.004,-0.049,-0.046,0.027,0.021,-0.047
-0.016,-0.059,-0.043,0.038,0.014,-0.051
-0.037,-0.077,-0.04,0.057,0.002,-0.058
-0.03,-0.07,-0.04,0.05,0.005,-0.055
-0.025,-0.065,-0.04,0.045,0.008,-0.052
-0.025,-0.065,-0.041,0.045,0.009,-0.052
-0.025,-0.064,-0.038,0.045,0.007,-0.05
-0.024,-0.059,-0.035,0.042,0.005,-0.046
-0.02,-0.055,-0.035,0.038,0.008,-0.045
-0.019,-0.054,-0.035,0.037,0.008,-0.045
-0.026,-0.061,-0.035,0.044,0.005,-0.048
-0.034,-0.068,-0.034,0.051,0.001,-0.051
-0.043,-0.08,-0.037,0.062,-0.003,-0.058
-0.05,-0.1,-0.05,0.075,0.0,-0.075
-0.033,-0.097,-0.064,0.065,0.016,-0.08
-0.031,-0.094,-0.063,0.063,0.016,-0.078
-0.035,-0.094,-0.059,0.064,0.012,-0.076
-0.028,-0.088,-0.06,0.058,0.016,-0.074
-0.03,-0.09,-0.06,0.06,0.015,-0.075
-0.055,-0.115,-0.06,0.085,0.002,-0.088
-0.06,-0.12,-0.06,0.09,0.0,-0.09
-0.052,-0.112,-0.06,0.082,0.005,-0.085
-0.05,-0.11,-0.06,0.08,0.005,-0.085
-0.05,-0.11,-0.06,0.08,0.005,-0.085
-0.046,-0.106,-0.06,0.076,0.008,-0.082
-0.045,-0.105,-0.06,0.075,0.008,-0.082
-0.044,-0.104,-0.06,0.074,0.008,-0.082
-0.038,-0.099,-0.06,0.069,0.011,-0.079
-0.035,-0.095,-0.06,0.065,0.013,-0.077
-0.039,-0.095,-0.056,0.068,0.009,-0.075
-0.038,-0.092,-0.055,0.065,0.009,-0.073
-0.034,-0.089,-0.055,0.062,0.011,-0.071
-0.036,-0.091,-0.055,0.064,0.01,-0.073
-0.04,-0.095,-0.055,0.068,0.008,-0.075
-0.04,-0.095,-0.055,0.068,0.008,-0.075
-0.04,-0.095,-0.055,0.068,0.008,-0.075
-0.04,-0.095,-0.055,0.068,0.008,-0.075
-0.041,-0.096,-0.055,0.069,0.008,-0.075
-0.045,-0.1,-0.055,0.073,0.005,-0.077
-0.045,-0.1,-0.055,0.073,0.005,-0.077
-0.045,-0.1,-0.055,0.073,0.005,-0.077
-0.045,-0.1,-0.055,0.073,0.005,-0.077
-0.046,-0.1,-0.054,0.073,0.004,-0.077
-0.05,-0.1,-0.05,0.075,0.0,-0.075
-0.054,-0.104,-0.05,0.079,-0.001,-0.077
-0.059,-0.105,-0.047,0.082,-0.005,-0.076
-0.06,-0.105,-0.045,0.083,-0.007,-0.075
-0.061,-0.105,-0.044,0.083,-0.008,-0.075
-0.065,-0.105,-0.04,0.085,-0.012,-0.072
-0.066,-0.106,-0.04,0.086,-0.013,-0.072
-0.057,-0.097,-0.04,0.077,-0.008,-0.068
-0.045,-0.084,-0.039,0.064,-0.003,-0.062
-0.04,-0.081,-0.041,0.06,0.001,-0.061
-0.04,-0.095,-0.055,0.068,0.008,-0.075
-0.04,-0.124,-0.085,0.082,0.023,-0.105
-0.043,-0.136,-0.094,0.09,0.026,-0.115
-0.046,-0.132,-0.086,0.089,0.02,-0.109
-0.043,-0.139,-0.096,0.091,0.027,-0.117
-0.035,-0.16,-0.125,0.098,0.045,-0.142
-0.035,-0.157,-0.122,0.096,0.044,-0.139
-0.035,-0.155,-0.119,0.095,0.043,-0.136
-0.035,-0.153,-0.119,0.094,0.042,-0.135
-0.035,-0.149,-0.114,0.093,0.04,-0.131
-0.035,-0.15,-0.115,0.093,0.04,-0.132
-0.035,-0.151,-0.116,0.093,0.04,-0.133
-0.035,-0.147,-0.112,0.091,0.039,-0.129
-0.035,-0.145,-0.11,0.09,0.038,-0.127
-0.035,-0.144,-0.109,0.09,0.038,-0.126
-0.035,-0.14,-0.105,0.088,0.035,-0.122
-0.035,-0.14,-0.105,0.088,0.035,-0.122
-0.036,-0.14,-0.105,0.088,0.035,-0.122
-0.033,-0.14,-0.107,0.087,0.037,-0.123
-0.03,-0.14,-0.11,0.085,0.04,-0.125
-0.03,-0.14,-0.11,0.085,0.04,-0.125
-0.03,-0.14,-0.11,0.085,0.04,-0.125
-0.03,-0.14,-0.11,0.085,0.04,-0.125
-0.03,-0.14,-0.11,0.085,0.04,-0.125
-0.03,-0.14,-0.11,0.085,0.04,-0.125
-0.03,-0.14,-0.11,0.085,0.04,-0.125
-0.026,-0.14,-0.114,0.083,0.044,-0.127
-0.025,-0.14,-0.115,0.083,0.045,-0.127
-0.025,-0.14,-0.115,0.083,0.045,-0.127
-0.025,-0.14,-0.115,0.083,0.045,-0.127
-0.025,-0.14,-0.115,0.083,0.045,-0.127
-0.025,-0.14,-0.115,0.083,0.045,-0.127
-0.026,-0.14,-0.114,0.083,0.044,-0.127
-0.023,-0.14,-0.117,0.082,0.047,-0.128
-0.019,-0.14,-0.12,0.08,0.05,-0.13
-0.02,-0.14,-0.12,0.08,0.05,-0.13
-0.024,-0.144,-0.12,0.084,0.049,-0.131
-0.029,-0.149,-0.12,0.089,0.046,-0.134
-0.029,-0.15,-0.121,0.09,0.045,-0.135
-0.032,-0.151,-0.119,0.091,0.044,-0.135
-0.035,-0.155,-0.12,0.095,0.043,-0.137
-0.017,-0.155,-0.138,0.086,0.061,-0.146
-0.022,-0.158,-0.136,0.09,0.057,-0.147
-0.033,-0.161,-0.127,0.097,0.047,-0.144
-0.036,-0.16,-0.123,0.099,0.043,-0.141
-0.045,-0.16,-0.115,0.103,0.035,-0.137
-0.049,-0.16,-0.111,0.105,0.031,-0.135
-0.056,-0.16,-0.104,0.108,0.024,-0.132
-0.063,-0.16,-0.097,0.112,0.017,-0.128
-0.064,-0.16,-0.096,0.113,0.016,-0.127
-0.06,-0.16,-0.1,0.11,0.02,-0.13
-0.06,-0.16,-0.1,0.11,0.02,-0.13
-0.06,-0.16,-0.1,0.11,0.02,-0.13
-0.061,-0.16,-0.099,0.11,0.019,-0.13
-0.058,-0.16,-0.102,0.109,0.022,-0.131
-0.045,-0.16,-0.115,0.103,0.035,-0.137
-0.034,-0.16,-0.126,0.097,0.046,-0.143
-0.013,-0.161,-0.147,0.087,0.067,-0.154
-0.004,-0.158,-0.154,0.082,0.075,-0.156
-0.021,-0.163,-0.142,0.093,0.06,-0.152
-0.045,-0.18,-0.135,0.113,0.045,-0.157
-0.046,-0.177,-0.131,0.111,0.043,-0.154
-0.047,-0.172,-0.124,0.109,0.039,-0.148
-0.052,-0.168,-0.116,0.11,0.032,-0.141
-0.056,-0.165,-0.109,0.111,0.027,-0.136
-0.06,-0.165,-0.105,0.113,0.023,-0.135
-0.061,-0.161,-0.101,0.111,0.02,-0.131
-0.057,-0.156,-0.1,0.106,0.022,-0.128
-0.055,-0.155,-0.1,0.105,0.023,-0.127
-0.055,-0.154,-0.1,0.105,0.023,-0.127
-0.05,-0.15,-0.1,0.1,0.025,-0.125
-0.045,-0.145,-0.1,0.095,0.028,-0.122
-0.049,-0.146,-0.097,0.097,0.025,-0.121
-0.048,-0.142,-0.094,0.095,0.024,-0.118
-0.038,-0.133,-0.095,0.086,0.029,-0.114
-0.03,-0.125,-0.095,0.078,0.033,-0.11
-0.022,-0.117,-0.095,0.07,0.037,-0.106
-0.013,-0.109,-0.096,0.062,0.042,-0.103
-0.009,-0.101,-0.091,0.055,0.042,-0.096
-0.01,-0.094,-0.084,0.052,0.037,-0.089
-0.01,-0.09,-0.08,0.05,0.035,-0.085
-0.01,-0.082,-0.072,0.046,0.031,-0.077
-0.007,-0.074,-0.067,0.041,0.03,-0.07
-0.005,-0.066,-0.061,0.036,0.028,-0.063
-0.005,-0.058,-0.053,0.032,0.024,-0.055
0.0,-0.05,-0.05,0.025,0.025,-0.05
0.008,-0.042,-0.05,0.017,0.029,-0.046
0.017,-0.033,-0.05,0.008,0.034,-0.041
0.019,-0.031,-0.05,0.006,0.035,-0.04
0.014,-0.036,-0.05,0.011,0.033,-0.042
0.015,-0.035,-0.05,0.01,0.033,-0.042
0.015,-0.035,-0.05,0.01,0.033,-0.042
0.015,-0.035,-0.05,0.01,0.033,-0.042
0.015,-0.035,-0.05,0.01,0.033,-0.042
0.015,-0.035,-0.05,0.01,0.033,-0.042
0.015,-0.035,-0.05,0.01,0.033,-0.042
0.015,-0.035,-0.05,0.01,0.033,-0.042
0.015,-0.035,-0.05,0.01,0.033,-0.042
0.014,-0.035,-0.049,0.011,0.032,-0.042
0.008,-0.035,-0.043,0.014,0.026,-0.039
0.01,-0.035,-0.045,0.013,0.028,-0.04
0.036,-0.046,-0.082,0.005,0.059,-0.064
0.035,-0.063,-0.098,0.014,0.066,-0.08
0.017,-0.075,-0.092,0.03,0.055,-0.083
0.018,-0.081,-0.099,0.032,0.059,-0.089
0.035,-0.085,-0.12,0.025,0.078,-0.102
0.032,-0.093,-0.125,0.031,0.079,-0.109
0.027,-0.098,-0.125,0.036,0.076,-0.111
0.019,-0.105,-0.125,0.043,0.072,-0.115
0.008,-0.118,-0.126,0.055,0.067,-0.122
0.005,-0.125,-0.13,0.06,0.068,-0.127
0.003,-0.127,-0.13,0.062,0.067,-0.129
-0.016,-0.145,-0.129,0.081,0.057,-0.137
-0.027,-0.159,-0.132,0.093,0.053,-0.145
-0.025,-0.16,-0.135,0.093,0.055,-0.148
-0.03,-0.165,-0.135,0.098,0.053,-0.15
-0.035,-0.169,-0.135,0.102,0.05,-0.152
-0.035,-0.17,-0.136,0.103,0.05,-0.152
-0.037,-0.17,-0.133,0.104,0.048,-0.151
-0.04,-0.17,-0.13,0.105,0.045,-0.15
-0.04,-0.17,-0.13,0.105,0.045,-0.15
-0.04,-0.17,-0.13,0.105,0.045,-0.15
-0.039,-0.17,-0.131,0.105,0.046,-0.15
-0.042,-0.17,-0.128,0.106,0.043,-0.149
-0.045,-0.17,-0.125,0.108,0.04,-0.147
-0.045,-0.17,-0.125,0.108,0.04,-0.147
-0.049,-0.174,-0.125,0.112,0.039,-0.149
-0.054,-0.179,-0.125,0.117,0.035,-0.152
-0.053,-0.179,-0.125,0.116,0.036,-0.152
-0.05,-0.174,-0.124,0.113,0.038,-0.149
-0.055,-0.175,-0.12,0.115,0.033,-0.147
-0.056,-0.175,-0.12,0.116,0.033,-0.147
-0.052,-0.172,-0.12,0.112,0.034,-0.146
-0.049,-0.169,-0.12,0.109,0.036,-0.145
-0.051,-0.17,-0.119,0.111,0.034,-0.145
-0.055,-0.17,-0.115,0.113,0.03,-0.142
-0.051,-0.166,-0.115,0.109,0.032,-0.14
-0.05,-0.165,-0.115,0.108,0.033,-0.14
-0.049,-0.165,-0.116,0.107,0.034,-0.141
-0.053,-0.165,-0.112,0.109,0.03,-0.139
-0.05,-0.165,-0.115,0.108,0.033,-0.14
-0.001,-0.166,-0.165,0.084,0.082,-0.165
-0.013,-0.193,-0.18,0.103,0.084,-0.186
-0.033,-0.205,-0.173,0.12,0.071,-0.189
-0.016,-0.192,-0.176,0.105,0.081,-0.184
-0.01,-0.185,-0.175,0.098,0.083,-0.18
-0.009,-0.176,-0.167,0.093,0.08,-0.171
0.054,-0.177,-0.231,0.062,0.143,-0.204
0.108,-0.148,-0.256,0.02,0.182,-0.202
0.108,-0.094,-0.202,-0.007,0.156,-0.148
0.125,-0.045,-0.17,-0.04,0.148,-0.107
0.213,0.059,-0.153,-0.136,0.183,-0.046
0.282,0.22,-0.062,-0.251,0.171,0.079
0.331,0.415,0.084,-0.373,0.123,0.249
0.4,0.604,0.204,-0.502,0.098,0.404
0.465,0.755,0.29,-0.61,0.087,0.522
0.451,0.885,0.434,-0.669,0.008,0.659
0.403,1.066,0.663,-0.735,-0.13,0.864
0.358,1.185,0.827,-0.772,-0.235,1.006
0.294,1.156,0.862,-0.725,-0.285,1.009
0.205,1.03,0.825,-0.618,-0.31,0.927
0.153,0.871,0.717,-0.513,-0.282,0.794
0.05,0.714,0.664,-0.382,-0.307,0.689
-0.056,0.599,0.656,-0.271,-0.356,0.627
-0.137,0.476,0.613,-0.17,-0.375,0.544
-0.23,0.3,0.53,-0.035,-0.38,0.415
-0.285,0.184,0.47,0.05,-0.378,0.327
-0.248,0.117,0.365,0.066,-0.307,0.24
-0.192,0.049,0.241,0.072,-0.216,0.144
-0.173,-0.02,0.153,0.096,-0.162,0.066
-0.17,-0.075,0.095,0.122,-0.132,0.01
-0.167,-0.135,0.031,0.151,-0.098,-0.051
-0.159,-0.153,0.006,0.156,-0.083,-0.073
-0.151,-0.149,0.002,0.15,-0.077,-0.073
-0.142,-0.149,-0.007,0.146,-0.067,-0.078
-0.13,-0.145,-0.015,0.138,-0.057,-0.08
-0.122,-0.145,-0.023,0.134,-0.049,-0.084
-0.115,-0.146,-0.031,0.131,-0.042,-0.088
-0.103,-0.143,-0.04,0.124,-0.031,-0.091
-0.094,-0.14,-0.045,0.117,-0.024,-0.092
-0.09,-0.14,-0.05,0.115,-0.02,-0.095
-0.069,-0.14,-0.071,0.105,0.001,-0.105
-0.063,-0.14,-0.078,0.102,0.007,-0.109
-0.049,-0.138,-0.089,0.094,0.02,-0.114
-0.027,-0.135,-0.108,0.081,0.041,-0.121
-0.025,-0.135,-0.11,0.08,0.043,-0.122
-0.022,-0.135,-0.114,0.079,0.046,-0.124
-0.013,-0.132,-0.119,0.073,0.053,-0.125
-0.01,-0.13,-0.119,0.07,0.054,-0.124
-0.008,-0.13,-0.122,0.069,0.057,-0.126
0.0,-0.13,-0.13,0.065,0.065,-0.13
-0.012,-0.13,-0.119,0.072,0.053,-0.124
-0.019,-0.127,-0.108,0.073,0.045,-0.117
-0.023,-0.124,-0.102,0.074,0.04,-0.113
-0.033,-0.125,-0.092,0.079,0.03,-0.108
-0.045,-0.125,-0.08,0.085,0.018,-0.102
-0.054,-0.125,-0.072,0.089,0.01,-0.098
-0.058,-0.122,-0.064,0.09,0.003,-0.093
-0.062,-0.119,-0.057,0.091,-0.002,-0.088
-0.066,-0.12,-0.055,0.094,-0.006,-0.087
-0.065,-0.12,-0.055,0.093,-0.005,-0.087
-0.06,-0.116,-0.056,0.088,-0.002,-0.086
-0.064,-0.115,-0.051,0.09,-0.006,-0.083
-0.046,-0.115,-0.069,0.081,0.012,-0.092
-0.023,-0.115,-0.092,0.069,0.035,-0.103
-0.03,-0.115,-0.085,0.073,0.028,-0.1
-0.027,-0.111,-0.084,0.069,0.029,-0.097
-0.024,-0.11,-0.086,0.067,0.031,-0.097
-0.027,-0.11,-0.083,0.069,0.028,-0.096
-0.031,-0.11,-0.08,0.07,0.025,-0.095
-0.03,-0.11,-0.08,0.07,0.025,-0.095
-0.026,-0.106,-0.08,0.066,0.027,-0.092
-0.021,-0.104,-0.083,0.063,0.031,-0.094
-0.019,-0.106,-0.086,0.063,0.034,-0.096
-0.011,-0.104,-0.093,0.058,0.041,-0.098
0.005,-0.1,-0.105,0.048,0.055,-0.102
0.002,-0.1,-0.102,0.049,0.052,-0.101
-0.003,-0.1,-0.097,0.052,0.047,-0.098
-0.008,-0.1,-0.093,0.054,0.042,-0.096
-0.009,-0.099,-0.09,0.054,0.04,-0.094
-0.005,-0.095,-0.09,0.05,0.043,-0.092
-0.009,-0.095,-0.086,0.052,0.039,-0.091
-0.013,-0.095,-0.081,0.054,0.034,-0.088
-0.016,-0.096,-0.08,0.056,0.033,-0.087
-0.014,-0.093,-0.079,0.054,0.033,-0.086
-0.01,-0.085,-0.075,0.048,0.033,-0.08
-0.011,-0.081,-0.071,0.046,0.03,-0.076
-0.004,-0.074,-0.07,0.039,0.033,-0.072
0.001,-0.068,-0.069,0.034,0.035,-0.068
0.001,-0.063,-0.064,0.032,0.033,-0.064
0.005,-0.055,-0.06,0.025,0.033,-0.057
0.005,-0.051,-0.056,0.023,0.031,-0.053
0.005,-0.047,-0.052,0.021,0.029,-0.049
0.004,-0.043,-0.047,0.02,0.026,-0.044
0.007,-0.039,-0.046,0.017,0.027,-0.042
0.01,-0.035,-0.045,0.013,0.028,-0.04
-0.007,-0.031,-0.024,0.02,0.008,-0.027
0.028,-0.027,-0.054,0.0,0.041,-0.04
0.039,-0.024,-0.063,-0.008,0.051,-0.043
0.002,-0.018,-0.02,0.008,0.011,-0.019
-0.01,-0.005,0.005,0.007,-0.007,0.0
-0.003,0.006,0.01,-0.002,-0.006,0.008
0.011,0.024,0.012,-0.018,-0.001,0.018
0.029,0.047,0.017,-0.038,0.005,0.032
0.042,0.062,0.02,-0.052,0.011,0.041
0.04,0.065,0.025,-0.053,0.007,0.045
0.023,0.065,0.042,-0.045,-0.01,0.053
0.018,0.064,0.047,-0.042,-0.015,0.056
0.022,0.067,0.044,-0.045,-0.011,0.055
0.025,0.07,0.045,-0.048,-0.01,0.057
0.025,0.07,0.045,-0.048,-0.01,0.057
0.025,0.07,0.045,-0.048,-0.01,0.057
0.028,0.073,0.045,-0.051,-0.009,0.059
0.03,0.075,0.045,-0.053,-0.008,0.06
0.03,0.075,0.045,-0.053,-0.008,0.06
0.03,0.075,0.045,-0.053,-0.008,0.06
0.029,0.074,0.045,-0.052,-0.008,0.06
0.035,0.08,0.045,-0.058,-0.005,0.063
0.043,0.088,0.045,-0.066,-0.001,0.066
0.044,0.089,0.045,-0.067,0.0,0.067
0.05,0.095,0.045,-0.073,0.002,0.07
0.077,0.123,0.045,-0.101,0.016,0.084
0.069,0.113,0.044,-0.091,0.012,0.078
0.079,0.126,0.047,-0.103,0.016,0.086
0.125,0.166,0.041,-0.146,0.042,0.103
0.135,0.165,0.03,-0.15,0.052,0.097
0.097,0.164,0.067,-0.131,0.015,0.116
0.089,0.168,0.079,-0.129,0.005,0.123
0.097,0.171,0.074,-0.135,0.012,0.122
0.094,0.169,0.075,-0.132,0.009,0.122
0.1,0.175,0.075,-0.138,0.012,0.125
0.135,0.209,0.074,-0.173,0.03,0.142
0.134,0.215,0.081,-0.174,0.026,0.147
0.124,0.227,0.103,-0.176,0.01,0.164
0.14,0.253,0.114,-0.197,0.013,0.183
0.15,0.255,0.105,-0.203,0.022,0.18
0.133,0.271,0.138,-0.202,-0.003,0.204
0.135,0.285,0.15,-0.21,-0.008,0.217
0.156,0.297,0.141,-0.227,0.008,0.218
0.164,0.315,0.151,-0.24,0.007,0.233
0.16,0.33,0.17,-0.245,-0.005,0.25
